pr_id,level
3205734508,2.0
3107321792,2.0
3234660269,2.0
3241611660,2.0
3275448809,2.0
3204479528,2.0
3037457814,2.0
2915198291,2.0
3132410695,2.0
3223924413,2.0
3088611576,2.0
2915784381,2.0
3203856259,2.0
3088176007,2.0
3256172444,2.0
3163243464,2.0
3214876564,2.0
3235103212,2.0
3070160046,2.0
3267198858,2.0
3272275087,2.0
3245161961,2.0
3165431934,2.0
3207921071,2.0
3147421099,2.0
3255598859,2.0
3079303421,2.0
3165597086,2.0
3226475067,2.0
3231950376,2.0
2974498229,2.0
2889940415,2.0
2876006908,2.0
3146518192,2.0
3119417980,2.0
3255142482,2.0
3254649795,2.0
3231954470,2.0
3266170682,2.0
2964743634,2.0
3212306696,2.0
3271050710,2.0
3154662508,2.0
3216706697,2.0
3208559377,2.0
3194442530,2.0
3193198936,2.0
3260887009,2.0
3115027048,2.0
2905716327,2.0
3140073726,2.0
3208990831,2.0
3119750112,2.0
3212206965,2.0
3154339119,2.0
3251609070,2.0
3207914894,2.0
3234102722,2.0
3212961701,2.0
3114327280,2.0
3029855439,2.0
2876533575,2.0
3245466752,2.0
3098322647,2.0
3159415433,2.0
3231949586,2.0
3272907868,2.0
3165662397,2.0
2888657232,2.0
2905670458,2.0
3185547207,2.0
3184850059,2.0
3266316354,2.0
3164258008,2.0
3277329042,2.0
3246796582,2.0
3132009446,2.0
3276605733,2.0
3273580906,2.0
2973533797,2.0
2920999550,2.0
3138117853,2.0
3197644488,2.0
3131363751,2.0
3230307499,2.0
3171901980,2.0
3109706862,2.0
3210688776,2.0
3165176791,2.0
3226500911,2.0
3220367089,2.0
3166710563,2.0
3263934382,2.0
3160653118,2.0
3243533799,2.0
3132093324,2.0
3193248030,2.0
3199027461,2.0
3150229181,2.0
3215730319,2.0
3246897503,2.0
3226401427,2.0
3276585540,2.0
3109791380,2.0
3118662815,2.0
3177654490,2.0
3245668511,2.0
3164567685,2.0
3224085262,2.0
3166880168,2.0
3265782173,2.0
3133058562,2.0
2985351959,2.0
2986431376,2.0
3230351703,2.0
3262649320,2.0
3269888763,2.0
3266763733,2.0
3274969873,2.0
2889875255,2.0
3258270000,2.0
3176421116,2.0
2964008111,2.0
3133544722,2.0
3271943252,2.0
3203910456,2.0
3246684833,2.0
3111420697,2.0
3250477735,2.0
3226060777,2.0
3158802702,2.0
3214782537,2.0
3202135682,2.0
3150240545,2.0
2922676503,2.0
3219102497,2.0
3088173646,2.0
2912546402,2.0
3221520140,2.0
3258872453,2.0
3138362649,2.0
2915204489,2.0
2888099084,2.0
3105926969,2.0
3206405566,2.0
3112345209,2.0
3248210397,2.0
3200698874,2.0
2889940236,2.0
3176427591,2.0
3249619721,2.0
3124293906,2.0
2905748105,2.0
3185859728,2.0
3265118634,2.0
3274741142,2.0
3090065215,2.0
3248781517,2.0
3164503419,2.0
3241840766,2.0
3145238894,2.0
3165407647,2.0
3219880512,2.0
3142181649,2.0
2888185420,2.0
3168125372,2.0
2980205609,2.0
3263199127,2.0
2894762370,2.0
3138387778,2.0
3245346788,2.0
3256692785,2.0
3262310380,2.0
2883609845,2.0
3145249026,2.0
3273752719,2.0
3254644542,2.0
2916677326,2.0
3223177403,2.0
3173971926,2.0
3254261062,2.0
3245313058,2.0
2883083776,2.0
3128824166,2.0
3204784776,2.0
2886171819,2.0
3165503646,2.0
3189507528,2.0
2908771855,2.0
3270842985,2.0
3273243547,2.0
3070149818,2.0
3257241051,2.0
3235395709,2.0
2997643146,2.0
3151873955,2.0
3245809034,2.0
3161355858,2.0
3188858394,2.0
2921044123,2.0
3155322770,2.0
3269032263,2.0
3153985254,2.0
3156775134,2.0
3226043406,2.0
3168142663,2.0
3263692368,2.0
3260236912,2.0
3204995137,2.0
3186370783,2.0
2975165913,2.0
2990012909,2.0
3166521009,2.0
3142373237,2.0
3250272016,2.0
3054252195,2.0
3154517662,2.0
3237343612,2.0
3246635062,2.0
2936982220,2.0
3150393125,2.0
3241545126,2.0
3164736230,2.0
2922672896,2.0
3271014961,2.0
2909640593,2.0
3265640341,2.0
3151360963,2.0
3197344409,2.0
3266626830,2.0
3128713996,2.0
3277570981,2.0
3207221136,2.0
2986072834,2.0
3154770102,2.0
3165677582,2.0
3238626702,2.0
3231951656,2.0
3206405282,2.0
3164250713,2.0
3245746342,2.0
3257102140,2.0
3193786351,2.0
3181578456,2.0
3250024089,2.0
3271081741,2.0
3222101465,2.0
3124595999,2.0
3165146820,2.0
3251544513,2.0
3188865855,2.0
3184725856,2.0
3127930821,2.0
3205839196,2.0
3231951012,2.0
3057825906,2.0
3254647682,2.0
3116600521,2.0
2889835337,2.0
3173233374,2.0
3205893657,2.0
3165440543,2.0
3175209026,2.0
3158615630,2.0
3154096278,2.0
3244896143,2.0
3226434542,2.0
3229333583,2.0
3206510254,2.0
3258945821,2.0
3259580896,2.0
3277943226,2.0
3214724259,2.0
3232028428,2.0
3271045504,2.0
3203032594,2.0
3138264959,2.0
3128559622,2.0
3245584783,2.0
3166199077,2.0
3257330452,2.0
3139315341,2.0
3207910026,2.0
3271660213,2.0
3271740125,2.0
3275455685,2.0
3204637024,2.0
3240533897,2.0
3229710961,2.0
3158776739,2.0
3165023078,2.0
3225725945,2.0
2925282771,2.0
3069923749,2.0
3187718516,2.0
3275367954,2.0
3250746691,2.0
3238483606,2.0
3216793862,2.0
3260232103,2.0
3206405036,2.0
3250173556,2.0
3220223180,2.0
3160647911,2.0
3231953757,2.0
3226627949,2.0
3248259820,2.0
3047699666,2.0
3124189482,2.0
3007785025,2.0
3165060364,2.0
3132378621,2.0
3246764807,2.0
3069942339,2.0
3245456977,2.0
3098972655,2.0
3216678691,2.0
3190681974,2.0
3272397381,2.0
3091332769,2.0
3275029115,2.0
3269831635,2.0
3271748860,2.0
3120774449,2.0
3273233066,2.0
3260720963,2.0
3246681942,2.0
3267605140,2.0
3194483657,2.0
3144015338,2.0
3258566467,2.0
3201567268,2.0
3235659006,2.0
3172785852,2.0
3232844270,2.0
2974598623,2.0
3251370397,2.0
3170104958,2.0
3151798896,2.0
3167450477,2.0
3267602007,2.0
3173165718,2.0
3165750951,2.0
3146561196,2.0
3250080019,2.0
3238330931,2.0
3271988317,2.0
3070114059,2.0
2903936265,2.0
3206889625,2.0
3154734636,2.0
3197484474,2.0
3231953027,2.0
3160894112,2.0
3269741497,2.0
3037985682,2.0
3190390949,2.0
3215868710,2.0
3226645641,2.0
3171863473,2.0
3241861541,2.0
3128534413,2.0
3275134373,2.0
3164310340,2.0
3135266974,2.0
3226800461,2.0
3225792521,2.0
3199623142,2.0
2914376188,2.0
3275149041,2.0
3138222448,2.0
3214555104,2.0
3133399556,2.0
3159212731,2.0
3275609390,2.0
3128646283,2.0
3197436829,2.0
3176357483,2.0
3267110060,2.0
3196885081,2.0
3115558470,2.0
3209723205,2.0
3078006902,2.0
3145923591,2.0
3203754242,2.0
3274038425,2.0
3152317896,2.0
3200679276,2.0
3250200794,2.0
3257359947,2.0
3138027382,2.0
3172647828,2.0
3225792685,2.0
3086930190,2.0
3229176248,2.0
3179729495,2.0
3235820229,2.0
3246680171,2.0
3190199796,2.0
3274362044,2.0
3231955292,2.0
3124372773,2.0
3120813048,2.0
3207905993,2.0
3165441855,2.0
3264933329,2.0
3275097396,2.0
2892364501,2.0
3212218608,2.0
2918329879,2.0
3245552368,2.0
2914277614,2.0
3140025663,2.0
3210837112,2.0
3234650797,2.0
3209373025,2.0
3181506569,2.0
3202692899,2.0
3115760621,2.0
3141541564,2.0
2892443818,2.0
3269703997,2.0
3226145369,2.0
3069944091,2.0
3199564335,2.0
3229732955,2.0
3094661465,2.0
3154699305,2.0
3136804156,2.0
3248139288,2.0
3158818689,2.0
3265709660,2.0
3247725112,2.0
2882576893,2.0
3231952364,2.0
2970665095,2.0
3246950577,2.0
3238491477,2.0
3238444749,2.0
3244853040,2.0
3222268735,2.0
3147721605,2.0
3245454530,2.0
3160495699,2.0
3178007458,2.0
3161358535,2.0
2959025892,2.0
3277239540,2.0
3205273752,2.0
3082070083,2.0
3266530341,2.0
3170864491,2.0
3087442273,2.0
3242974861,2.0
3221941191,2.0
3103514385,2.0
3252779862,2.0
3273353684,2.0
3142965328,2.0
3173227548,2.0
3154760858,2.0
3079015881,2.0
3147795708,2.0
3187808523,2.0
3230602148,2.0
